1000 15000
0 681 6368
53 999 155
681 189 1734
189 996 4829
996 142 1373
142 725 5052
725 601 5868
601 983 2136
983 657 4838
657 418 5672
418 230 1738
230 350 5776
350 363 326
363 946 5324
946 331 5180
331 290 2084
290 149 1077
149 40 512
40 324 1136
324 570 5106
570 545 807
545 998 3166
998 482 658
482 864 4421
864 916 471
916 995 1702
995 677 972
677 348 3598
348 344 126
344 940 1776
940 7 4385
7 49 3257
49 557 3439
557 722 4285
722 347 2924
347 786 1486
786 985 296
985 24 2490
24 531 1347
531 409 6556
409 760 2988
760 975 1477
975 160 1611
160 969 5785
969 744 5604
744 891 2174
891 632 5870
632 384 2106
384 183 24
183 956 1221
956 443 5166
443 623 1005
623 3 5184
3 105 438
105 850 2590
850 968 850
968 714 6504
714 670 4576
670 690 3169
690 293 5297
293 757 364
757 427 3886
427 994 5535
994 255 3768
255 33 3052
33 652 4782
652 52 5350
52 551 5937
551 343 30
343 267 6751
267 89 5330
89 726 3108
726 435 484
435 834 5525
834 572 3583
572 478 5159
478 517 372
517 215 3913
215 890 2959
890 889 460
889 905 4548
905 216 6550
216 966 3568
966 332 404
332 903 2208
903 851 6640
851 703 604
703 188 1532
188 653 6623
653 636 1880
636 872 2991
872 22 286
22 600 5178
600 838 980
838 28 4062
28 122 8
122 602 3505
602 971 4190
971 254 1071
254 814 6429
814 487 152
487 17 5787
17 411 1374
411 837 1060
837 69 1136
69 508 4000
508 45 794
45 638 6159
638 524 3090
524 915 5665
915 775 1587
775 488 4591
488 127 5745
127 840 841
840 919 255
919 563 2362
563 649 5206
649 271 58
271 659 2924
659 704 2931
704 591 5808
591 949 1529
949 564 6625
564 110 3992
110 470 1224
470 441 1711
441 95 2443
95 928 563
928 399 6733
399 112 5851
112 887 2980
887 562 4766
562 629 2533
629 16 941
16 648 6645
648 991 1752
991 626 4301
626 113 6779
113 74 6030
74 475 6589
475 776 5377
776 520 4275
520 909 4470
909 448 2594
448 175 1595
175 575 1949
575 48 1303
48 273 3026
273 679 4771
679 238 4329
238 219 3377
219 794 2477
794 620 3727
620 825 4606
825 310 1500
310 674 6076
674 163 804
163 871 4084
871 619 3632
619 150 5062
150 705 6989
705 707 4355
707 662 2298
662 68 3340
68 387 5550
387 196 2154
196 777 853
777 450 3807
450 521 2065
521 836 3949
836 739 6845
739 973 5682
973 805 4481
805 414 6078
414 954 2916
954 21 1257
21 540 6667
540 466 1774
466 155 3861
155 735 4924
735 408 3182
408 393 942
393 807 838
807 66 2
66 869 6969
869 2 2755
2 631 2268
631 119 6322
119 752 2175
752 549 2143
549 107 2075
107 83 506
83 868 6681
868 225 3291
225 599 931
599 338 2815
338 301 6765
301 719 5524
719 304 6224
304 425 82
425 63 495
63 697 2682
697 303 5730
303 944 1910
944 431 4319
431 176 2346
176 335 3797
335 970 1721
970 401 2122
401 252 2320
252 361 4779
361 124 6419
124 351 5481
351 809 2125
809 800 5518
800 257 2404
257 406 970
406 333 5237
333 924 6561
924 937 1674
937 654 6127
654 625 5364
625 57 5272
57 738 1392
738 598 2088
598 728 2236
728 233 5425
233 171 2216
171 202 6177
202 676 2428
676 692 3382
692 578 42
578 933 4728
933 266 5817
266 651 6266
651 481 5756
481 26 1461
26 756 3213
756 932 5417
932 419 6500
419 318 1929
318 852 5629
852 712 740
712 245 2874
245 898 857
898 538 2124
538 717 604
717 610 6682
610 383 4848
383 221 10
221 952 4022
952 579 4152
579 627 4384
627 477 5022
477 560 982
560 357 1962
357 577 627
577 364 5906
364 565 4421
565 454 6354
454 986 3943
986 379 4516
379 270 4553
270 276 1499
276 883 5653
883 412 53
412 386 1058
386 23 2782
23 459 4877
459 616 6858
616 237 482
237 730 5399
730 190 1912
190 490 900
490 963 3324
963 663 4839
663 30 521
30 950 5242
950 231 6052
231 849 944
849 977 3433
977 603 426
603 114 1226
114 132 4754
132 56 2931
56 943 3703
943 694 5062
694 513 6495
513 476 5801
476 491 695
491 748 4223
748 947 2503
947 240 3820
240 82 1535
82 499 5771
499 765 1045
765 753 1891
753 222 3386
222 633 5500
633 615 3123
615 510 1212
510 259 1021
259 597 4949
597 939 4207
939 184 442
184 461 5677
461 13 270
13 711 1232
711 299 3263
299 561 4101
561 325 850
325 832 6411
832 191 5656
191 31 6463
31 462 3716
462 195 2866
195 388 6457
388 584 3590
584 902 813
902 372 5620
372 375 6079
375 404 6780
404 172 4051
172 529 781
529 772 2256
772 365 5757
365 445 3940
445 822 5046
822 646 2756
646 262 5001
262 385 2320
385 743 3347
743 437 4659
437 784 3286
784 85 913
85 321 4639
321 463 4371
463 453 1806
453 75 5343
75 430 6977
430 773 2768
773 54 6311
54 882 3421
882 130 5879
130 515 4813
515 706 2214
706 502 2876
502 881 3377
881 455 6070
455 669 6708
669 396 573
396 687 5621
687 275 3639
275 781 5547
781 574 5797
574 804 5818
804 993 6391
993 288 6399
288 440 3407
440 511 1236
511 618 6092
618 972 6392
972 485 1580
485 754 5622
754 841 1897
841 9 2919
9 91 390
91 442 1293
442 70 874
70 857 628
857 55 5406
55 770 3346
770 559 4395
559 103 5081
103 177 5353
177 665 4164
665 568 2
568 236 1602
236 71 5763
71 291 868
291 496 3623
496 355 806
355 42 6192
42 368 817
368 855 5064
855 749 6287
749 422 4752
422 381 957
381 339 876
339 101 6593
101 207 6358
207 921 1971
921 81 5704
81 464 3593
464 904 3734
904 884 4884
884 624 5579
624 60 5206
60 780 3245
780 389 213
389 798 6272
798 835 1818
835 229 1987
229 580 5080
580 336 817
336 145 6725
145 917 5045
917 934 4486
934 306 5993
306 518 697
518 644 2355
644 554 3313
554 987 3951
987 955 1420
955 514 5919
514 6 4457
6 44 6215
44 80 4058
80 974 4872
974 341 2594
341 811 4752
811 795 195
795 269 2669
269 421 6456
421 129 6466
129 906 3187
906 713 3340
713 398 2742
398 547 2500
547 212 6450
212 709 6411
709 516 2495
516 927 825
927 582 4838
582 828 4206
828 64 2191
64 313 6136
313 367 6897
367 907 1892
907 43 788
43 148 5284
148 302 6268
302 205 5952
205 992 2339
992 965 5054
965 136 1103
136 544 6103
544 323 5743
323 539 5731
539 820 6835
820 585 5076
585 587 702
587 382 6415
382 664 4975
664 467 2151
467 860 5161
860 818 1612
818 628 3027
628 161 830
161 931 4463
931 622 371
622 630 4428
630 420 4126
420 305 1439
305 573 3116
573 297 6878
297 486 530
486 416 3858
416 842 5752
842 296 3076
296 863 4551
863 280 4240
280 886 6102
886 170 3349
170 724 5604
724 193 1797
193 875 6279
875 121 3569
121 758 4637
758 762 1589
762 108 6086
108 512 4294
512 247 6409
247 783 1559
783 715 445
715 146 6917
146 116 6204
116 824 4878
824 144 3738
144 494 6734
494 272 3728
272 742 1094
742 930 2446
930 369 3213
369 503 4823
503 102 2925
102 823 5368
823 140 4051
140 134 6020
134 698 2672
698 858 2276
858 671 1486
671 234 5271
234 109 6857
109 206 2076
206 845 3808
845 97 514
97 913 4659
913 346 4871
346 264 742
264 566 1047
566 859 4952
859 953 899
953 695 4024
695 635 3479
635 721 4525
721 525 1220
525 844 1805
844 978 6016
978 614 1673
614 359 4472
359 211 6209
211 768 189
768 133 2080
133 556 5582
556 862 4120
862 72 6270
72 731 6640
731 438 5255
438 417 2634
417 117 4799
117 533 842
533 686 4831
686 480 1305
480 46 1092
46 833 3972
833 432 5801
432 468 4120
468 292 5401
292 29 1516
29 373 3152
373 683 6719
683 436 2493
436 782 5995
782 866 4690
866 141 5334
141 239 1560
239 456 2944
456 392 6277
392 77 2778
77 284 6390
284 327 630
327 586 1852
586 96 6039
96 718 5250
718 434 5829
434 342 4631
342 741 5747
741 377 4301
377 839 6518
839 558 3621
558 120 1894
120 32 6675
32 67 1303
67 268 4621
268 277 2042
277 925 5411
925 997 2825
997 340 651
340 279 5344
279 870 1193
870 530 3963
530 767 2599
767 656 375
656 716 2668
716 235 5952
235 356 378
356 590 6240
590 209 6173
209 720 6400
720 73 6438
73 588 795
588 309 5374
309 58 2631
58 682 4266
682 861 5226
861 522 4607
522 138 3502
138 433 5525
433 174 1175
174 19 4003
19 143 1362
143 198 1448
198 960 6119
960 761 3791
761 349 2957
349 366 1080
366 241 1853
241 745 708
745 605 4910
605 658 5526
658 444 5286
444 877 4381
877 208 5171
208 567 2670
567 200 5192
200 413 4503
413 78 1603
78 666 4368
666 244 5862
244 249 5566
249 330 883
330 99 4254
99 732 3781
732 115 5415
115 879 4788
879 295 788
295 672 4233
672 5 3525
5 733 5822
733 449 4906
